work_year,experience_level,employment_type,job_title,job_category,salary,remote_ratio,company_size
2023,MI,CT,ML Engineer,Machine Learning & AI,30000,100,S
2023,MI,CT,ML Engineer,Machine Learning & AI,25500,100,S
2023,SE,FT,Applied Scientist,Data Science,222200,0,L
2023,SE,FT,Applied Scientist,Data Science,136000,0,L
2023,SE,FT,Data Scientist,Data Science,147100,0,M
2023,SE,FT,Data Scientist,Data Science,90700,0,M
2023,SE,FT,Data Analyst,Data Analytics,130000,100,M
2023,SE,FT,Data Analyst,Data Analytics,100000,100,M
2023,EN,FT,Applied Scientist,Data Science,213660,0,L
2023,EN,FT,Applied Scientist,Data Science,130760,0,L
2023,SE,FT,Data Modeler,Data Analytics,147100,0,M
2023,SE,FT,Data Modeler,Data Analytics,90700,0,M
2023,SE,FT,Data Scientist,Data Science,170000,0,M
2023,SE,FT,Data Scientist,Data Science,150000,0,M
2023,MI,FT,Data Analyst,Data Analytics,150000,100,M
2023,MI,FT,Data Analyst,Data Analytics,110000,100,M
2023,SE,FT,Business Intelligence Engineer,Data Engineering,225000,0,M
2023,SE,FT,Business Intelligence Engineer,Data Engineering,156400,0,M
2023,SE,FT,Machine Learning Engineer,Machine Learning & AI,200000,0,M
2023,SE,FT,Machine Learning Engineer,Machine Learning & AI,130000,0,M
2023,SE,FT,Data Engineer,Data Engineering,253200,0,M
2023,SE,FT,Data Engineer,Data Engineering,90700,0,M
2023,SE,FT,Computer Vision Engineer,Machine Learning & AI,342810,0,M
2023,SE,FT,Computer Vision Engineer,Machine Learning & AI,184590,0,M
2023,MI,FT,Data Engineer,Data Engineering,162500,0,M
2023,MI,FT,Data Engineer,Data Engineering,130000,0,M
2023,MI,FT,Data Analyst,Data Analytics,105380,0,M
2023,MI,FT,Data Analyst,Data Analytics,64500,0,M
2023,EN,FT,Applied Scientist,Data Science,204620,0,L
2023,EN,FT,Applied Scientist,Data Science,110680,0,L
2023,SE,FT,Data Engineer,Data Engineering,270703,0,M
2023,SE,FT,Data Engineer,Data Engineering,221484,0,M
2023,SE,FT,Data Scientist,Data Science,212750,100,M
2023,SE,FT,Data Scientist,Data Science,185000,100,M
2023,SE,FT,Data Scientist,Data Science,262000,100,M
2023,SE,FT,Data Scientist,Data Science,245000,100,M
2023,SE,FT,Data Scientist,Data Science,275300,100,M
2023,SE,FT,Data Scientist,Data Science,183500,100,M
2023,SE,FT,Data Scientist,Data Science,218500,100,M
2023,SE,FT,Data Scientist,Data Science,199098,100,M
2023,SE,FT,Data Engineer,Data Engineering,203300,100,M
2023,SE,FT,Data Engineer,Data Engineering,123600,100,M
2023,SE,FT,Research Engineer,Research & Development,189110,0,M
2023,SE,FT,Research Engineer,Research & Development,139000,0,M
2023,EX,FT,Data Scientist,Data Science,258750,0,M
2023,EX,FT,Data Scientist,Data Science,185000,0,M
2023,SE,FT,Data Engineer,Data Engineering,231500,100,M
2023,SE,FT,Data Engineer,Data Engineering,166000,100,M
2023,SE,FT,Data Scientist,Data Science,172500,100,M
2023,SE,FT,Data Scientist,Data Science,110500,100,M
2023,SE,FT,Data Engineer,Data Engineering,238000,0,M
2023,SE,FT,Data Engineer,Data Engineering,176000,0,M
2023,SE,FT,Data Engineer,Data Engineering,237000,100,M
2023,SE,FT,Data Engineer,Data Engineering,201450,100,M
2023,SE,FT,Applied Scientist,Data Science,309400,0,L
2023,SE,FT,Applied Scientist,Data Science,159100,0,L
2023,SE,FT,Data Engineer,Data Engineering,115000,0,M
