state,state_abrev,ownership_type,occ_title,title,employment_total,employment_per_1000,occupation_share_per_area_employment,Pct_Ind_Employ,pct_rpt,mean_hourly_wage,mean_salary
Alabama,AL,"Federal, State, and Local Government and Private Sector",Computer and Information Systems Managers,Data Architect,"5,800",2.827,0.72,,,67.92,"141,270"
Alaska,AK,"Federal, State, and Local Government and Private Sector",Computer and Information Systems Managers,Data Architect,640,2.045,0.52,,,65.87,"137,010"
Arizona,AZ,"Federal, State, and Local Government and Private Sector",Computer and Information Systems Managers,Data Architect,"14,180",4.531,1.16,,,78.8,"163,900"
Arkansas,AR,"Federal, State, and Local Government and Private Sector",Computer and Information Systems Managers,Data Architect,"3,230",2.54,0.65,,,59.2,"123,130"
California,CA,"Federal, State, and Local Government and Private Sector",Computer and Information Systems Managers,Data Architect,"98,430",5.485,1.41,,,104.34,"217,030"
Colorado,CO,"Federal, State, and Local Government and Private Sector",Computer and Information Systems Managers,Data Architect,"12,080",4.267,1.09,,,88.71,"184,520"
Connecticut,CT,"Federal, State, and Local Government and Private Sector",Computer and Information Systems Managers,Data Architect,"9,950",5.992,1.54,,,78.58,"163,450"
Delaware,DE,"Federal, State, and Local Government and Private Sector",Computer and Information Systems Managers,Data Architect,"1,670",3.553,0.91,,,94.53,"196,630"
District of Columbia,DC,"Federal, State, and Local Government and Private Sector",Computer and Information Systems Managers,Data Architect,"4,550",6.478,1.66,,,90.97,"189,220"
Florida,FL,"Federal, State, and Local Government and Private Sector",Computer and Information Systems Managers,Data Architect,"27,110",2.834,0.73,,,79.06,"164,440"
Georgia,GA,"Federal, State, and Local Government and Private Sector",Computer and Information Systems Managers,Data Architect,"15,350",3.227,0.83,,,83.99,"174,710"
Hawaii,HI,"Federal, State, and Local Government and Private Sector",Computer and Information Systems Managers,Data Architect,"1,040",1.68,0.43,,,69.89,"145,370"
Idaho,ID,"Federal, State, and Local Government and Private Sector",Computer and Information Systems Managers,Data Architect,"1,420",1.729,0.44,,,64.26,"133,660"
Illinois,IL,"Federal, State, and Local Government and Private Sector",Computer and Information Systems Managers,Data Architect,"26,940",4.481,1.15,,,78.81,"163,930"
Indiana,IN,"Federal, State, and Local Government and Private Sector",Computer and Information Systems Managers,Data Architect,"7,200",2.279,0.58,,,67.1,"139,580"
Iowa,IA,"Federal, State, and Local Government and Private Sector",Computer and Information Systems Managers,Data Architect,"3,560",2.306,0.59,,,69.1,"143,730"
Kansas,KS,"Federal, State, and Local Government and Private Sector",Computer and Information Systems Managers,Data Architect,"3,810",2.697,0.69,,,81.16,"168,810"
Kentucky,KY,"Federal, State, and Local Government and Private Sector",Computer and Information Systems Managers,Data Architect,"2,540",1.296,0.33,,,65.2,"135,610"
Louisiana,LA,"Federal, State, and Local Government and Private Sector",Computer and Information Systems Managers,Data Architect,"2,300",1.244,0.32,,,69.66,"144,880"
Maine,ME,"Federal, State, and Local Government and Private Sector",Computer and Information Systems Managers,Data Architect,"1,450",2.328,0.6,,,75.32,"156,660"
Maryland,MD,"Federal, State, and Local Government and Private Sector",Computer and Information Systems Managers,Data Architect,"13,570",5.068,1.3,,,81.85,"170,240"
Massachusetts,MA,"Federal, State, and Local Government and Private Sector",Computer and Information Systems Managers,Data Architect,"25,030",6.871,1.76,,,92.19,"191,750"
Michigan,MI,"Federal, State, and Local Government and Private Sector",Computer and Information Systems Managers,Data Architect,"14,770",3.397,0.87,,,75.16,"156,340"
Minnesota,MN,"Federal, State, and Local Government and Private Sector",Computer and Information Systems Managers,Data Architect,"10,450",3.626,0.93,,,83.29,"173,230"
Mississippi,MS,"Federal, State, and Local Government and Private Sector",Computer and Information Systems Managers,Data Architect,"1,340",1.162,0.3,,,57.75,"120,120"
Missouri,MO,"Federal, State, and Local Government and Private Sector",Computer and Information Systems Managers,Data Architect,"7,960",2.769,0.71,,,69.89,"145,360"
Montana,MT,"Federal, State, and Local Government and Private Sector",Computer and Information Systems Managers,Data Architect,"1,060",2.104,0.54,,,*,*
Nebraska,NE,"Federal, State, and Local Government and Private Sector",Computer and Information Systems Managers,Data Architect,"5,030",5.029,1.29,,,65.61,"136,460"
Nevada,NV,"Federal, State, and Local Government and Private Sector",Computer and Information Systems Managers,Data Architect,"2,720",1.835,0.47,,,68.34,"142,150"
New Hampshire,NH,"Federal, State, and Local Government and Private Sector",Computer and Information Systems Managers,Data Architect,"3,260",4.836,1.24,,,81.8,"170,140"
New Jersey,NJ,"Federal, State, and Local Government and Private Sector",Computer and Information Systems Managers,Data Architect,"27,890",6.638,1.7,,,98.62,"205,120"
New Mexico,NM,"Federal, State, and Local Government and Private Sector",Computer and Information Systems Managers,Data Architect,"1,430",1.69,0.43,,,67.57,"140,550"
New York,NY,"Federal, State, and Local Government and Private Sector",Computer and Information Systems Managers,Data Architect,"39,190",4.173,1.07,,,102.85,"213,930"
North Carolina,NC,"Federal, State, and Local Government and Private Sector",Computer and Information Systems Managers,Data Architect,"21,660",4.516,1.16,,,84.72,"176,210"
North Dakota,ND,"Federal, State, and Local Government and Private Sector",Computer and Information Systems Managers,Data Architect,640,1.527,0.39,,,65.97,"137,220"
Ohio,OH,"Federal, State, and Local Government and Private Sector",Computer and Information Systems Managers,Data Architect,"13,670",2.499,0.64,,,79.24,"164,820"
Oklahoma,OK,"Federal, State, and Local Government and Private Sector",Computer and Information Systems Managers,Data Architect,"3,390",2.035,0.52,,,65.15,"135,510"
Oregon,OR,"Federal, State, and Local Government and Private Sector",Computer and Information Systems Managers,Data Architect,"7,160",3.682,0.94,,,77.9,"162,040"
Pennsylvania,PA,"Federal, State, and Local Government and Private Sector",Computer and Information Systems Managers,Data Architect,"20,480",3.443,0.88,,,76.79,"159,730"
Rhode Island,RI,"Federal, State, and Local Government and Private Sector",Computer and Information Systems Managers,Data Architect,860,1.752,0.45,,,91.1,"189,490"
South Carolina,SC,"Federal, State, and Local Government and Private Sector",Computer and Information Systems Managers,Data Architect,"4,910",2.208,0.57,,,72.07,"149,900"
South Dakota,SD,"Federal, State, and Local Government and Private Sector",Computer and Information Systems Managers,Data Architect,280,0.626,0.16,,,78.93,"164,170"
Tennessee,TN,"Federal, State, and Local Government and Private Sector",Computer and Information Systems Managers,Data Architect,"10,470",3.251,0.83,,,71.73,"149,200"
Texas,TX,"Federal, State, and Local Government and Private Sector",Computer and Information Systems Managers,Data Architect,"62,620",4.619,1.18,,,81.68,"169,900"
Utah,UT,"Federal, State, and Local Government and Private Sector",Computer and Information Systems Managers,Data Architect,"7,400",4.406,1.13,,,78.49,"163,260"
Vermont,VT,"Federal, State, and Local Government and Private Sector",Computer and Information Systems Managers,Data Architect,780,2.584,0.66,,,75.17,"156,360"
Virginia,VA,"Federal, State, and Local Government and Private Sector",Computer and Information Systems Managers,Data Architect,"16,460",4.134,1.06,,,93.38,"194,230"
Washington,WA,"Federal, State, and Local Government and Private Sector",Computer and Information Systems Managers,Data Architect,"16,680",4.773,1.22,,,99.71,"207,390"
West Virginia,WV,"Federal, State, and Local Government and Private Sector",Computer and Information Systems Managers,Data Architect,"1,110",1.612,0.41,,,72.64,"151,090"
Wisconsin,WI,"Federal, State, and Local Government and Private Sector",Computer and Information Systems Managers,Data Architect,"6,790",2.352,0.6,,,74.78,"155,530"
Wyoming,WY,"Federal, State, and Local Government and Private Sector",Computer and Information Systems Managers,Data Architect,310,1.141,0.29,,,57.23,"119,030"
Alabama,AL,"Federal, State, and Local Government and Private Sector",Budget Analysts,Business Intelligence,"1,030",0.503,1.62,,,45.86,"95,390"
Alaska,AK,"Federal, State, and Local Government and Private Sector",Budget Analysts,Business Intelligence,280,0.901,2.89,,,44.55,"92,660"
Arizona,AZ,"Federal, State, and Local Government and Private Sector",Budget Analysts,Business Intelligence,960,0.308,0.99,,,39,"81,120"
Arkansas,AR,"Federal, State, and Local Government and Private Sector",Budget Analysts,Business Intelligence,350,0.276,0.89,,,29.03,"60,370"
California,CA,"Federal, State, and Local Government and Private Sector",Budget Analysts,Business Intelligence,"4,770",0.266,0.85,,,49.52,"102,990"
Colorado,CO,"Federal, State, and Local Government and Private Sector",Budget Analysts,Business Intelligence,"1,220",0.43,1.38,,,44.36,"92,260"
Connecticut,CT,"Federal, State, and Local Government and Private Sector",Budget Analysts,Business Intelligence,710,0.428,1.37,,,43.72,"90,930"
Delaware,DE,"Federal, State, and Local Government and Private Sector",Budget Analysts,Business Intelligence,150,0.33,1.06,,,41.05,"85,380"
District of Columbia,DC,"Federal, State, and Local Government and Private Sector",Budget Analysts,Business Intelligence,"1,680",2.395,7.69,,,55.11,"114,620"
