year,indicator,disaggregation,disagg.value,value
2000,adolescent_obesity,sex,Boys,17.49
2000,adolescent_obesity,sex,Girls,15.38
2001,adolescent_obesity,sex,Boys,18.05
2001,adolescent_obesity,sex,Girls,15.82
2002,adolescent_obesity,sex,Boys,18.58
2002,adolescent_obesity,sex,Girls,16.22
2003,adolescent_obesity,sex,Boys,19.08
2003,adolescent_obesity,sex,Girls,16.6
2004,adolescent_obesity,sex,Boys,19.54
2004,adolescent_obesity,sex,Girls,16.94
2005,adolescent_obesity,sex,Boys,19.97
2005,adolescent_obesity,sex,Girls,17.25
2006,adolescent_obesity,sex,Boys,20.37
2006,adolescent_obesity,sex,Girls,17.52
2007,adolescent_obesity,sex,Boys,20.75
2007,adolescent_obesity,sex,Girls,17.78
2008,adolescent_obesity,sex,Boys,21.09
2008,adolescent_obesity,sex,Girls,18.01
2009,adolescent_obesity,sex,Boys,21.42
2009,adolescent_obesity,sex,Girls,18.22
2010,adolescent_obesity,sex,Boys,21.72
2010,adolescent_obesity,sex,Girls,18.42
2011,adolescent_obesity,sex,Boys,22.01
2011,adolescent_obesity,sex,Girls,18.61
2012,adolescent_obesity,sex,Boys,22.28
2012,adolescent_obesity,sex,Girls,18.79
2013,adolescent_obesity,sex,Boys,22.54
2013,adolescent_obesity,sex,Girls,18.96
2014,adolescent_obesity,sex,Boys,22.79
2014,adolescent_obesity,sex,Girls,19.13
2015,adolescent_obesity,sex,Boys,23.04
2015,adolescent_obesity,sex,Girls,19.3
2016,adolescent_obesity,sex,Boys,23.29
2016,adolescent_obesity,sex,Girls,19.47
2000,adolescent_overweight,sex,Boys,36.53
2000,adolescent_overweight,sex,Girls,34.59
2001,adolescent_overweight,sex,Boys,37.27
2001,adolescent_overweight,sex,Girls,35.15
2002,adolescent_overweight,sex,Boys,37.97
2002,adolescent_overweight,sex,Girls,35.67
2003,adolescent_overweight,sex,Boys,38.62
2003,adolescent_overweight,sex,Girls,36.13
2004,adolescent_overweight,sex,Boys,39.23
2004,adolescent_overweight,sex,Girls,36.55
2005,adolescent_overweight,sex,Boys,39.79
2005,adolescent_overweight,sex,Girls,36.92
2006,adolescent_overweight,sex,Boys,40.31
